stock,sector
360ONE,Financial Services
AARTIIND,Chemicals
AAVAS,Financial Services
ABB,Capital Goods
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABSLAMC,Financial Services
ACC,Construction Materials
ACE,Capital Goods
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
AFFLE,Information Technology
AIAENG,Capital Goods
AJANTPHARM,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALOKINDS,Textiles
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
APARINDS,Capital Goods
APLAPOLLO,Capital Goods
APLLTD,Healthcare
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ASAHIINDIA,Automobile and Auto Components
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTERDM,Healthcare
ASTRAL,Capital Goods
ASTRAZEN,Healthcare
ATGL,Oil Gas & Consumable Fuels
ATUL,Chemicals
AUBANK,Financial Services
AUROPHARMA,Healthcare
AVANTIFEED,Fast Moving Consumer Goods
AXISBANK,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BAJFINANCE,Financial Services
BALAMINES,Chemicals
BALKRISIND,Automobile and Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BASF,Chemicals
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BBTC,Fast Moving Consumer Goods
BDL,Capital Goods
BEL,Capital Goods
BEML,Capital Goods
BERGEPAINT,Consumer Durables
BHARATFORG,Automobile and Auto Components
BHARTIARTL,Telecommunication
BHEL,Capital Goods
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BLS,Consumer Services
BLUEDART,Services
BLUESTARCO,Consumer Durables
BOSCHLTD,Automobile and Auto Components
BPCL,Oil Gas & Consumable Fuels
BRITANNIA,Fast Moving Consumer Goods
BSE,Financial Services
BSOFT,Information Technology
CAMS,Financial Services
CANBK,Financial Services
CANFINHOME,Financial Services
CAPLIPOINT,Healthcare
CARBORUNIV,Capital Goods
CASTROLIND,Oil Gas & Consumable Fuels
CCL,Fast Moving Consumer Goods
CDSL,Financial Services
CEATLTD,Automobile and Auto Components
CENTRALBK,Financial Services
CENTURYPLY,Consumer Durables
CERA,Consumer Durables
CESC,Power
